rule,frequency,support,confidence
"R:({POPT_H,TOURIST_ARR_M})->SBS_M",3,0.041666666666666664,0.5
"R:({POPT_H,TOURIST_ARR_M})->SBS_H",2,0.027777777777777776,0.3333333333333333
"R:({POPT_H,TOURIST_ARR_M})->SBS_VL",1,0.013888888888888888,0.16666666666666666
"R:({POPT_H,TOURIST_ARR_VH})->SBS_VH",3,0.041666666666666664,0.6
"R:({POPT_H,TOURIST_ARR_VH})->SBS_H",2,0.027777777777777776,0.39999999999999997
"R:({POPT_H,TOURIST_ARR_H})->SBS_M",1,0.013888888888888888,0.3333333333333333
"R:({POPT_H,TOURIST_ARR_H})->SBS_H",1,0.013888888888888888,0.3333333333333333
"R:({POPT_H,TOURIST_ARR_H})->SBS_VH",1,0.013888888888888888,0.3333333333333333
"R:({POPT_M,TOURIST_ARR_M})->SBS_M",7,0.09722222222222222,0.5384615384615384
"R:({POPT_M,TOURIST_ARR_M})->SBS_H",3,0.041666666666666664,0.23076923076923075
"R:({POPT_M,TOURIST_ARR_M})->SBS_L",2,0.027777777777777776,0.15384615384615383
"R:({POPT_M,TOURIST_ARR_M})->SBS_VL",1,0.013888888888888888,0.07692307692307691
"R:({POPT_M,TOURIST_ARR_VH})->SBS_M",2,0.027777777777777776,1.0
"R:({POPT_M,TOURIST_ARR_VL})->SBS_M",1,0.013888888888888888,0.5
"R:({POPT_M,TOURIST_ARR_VL})->SBS_L",1,0.013888888888888888,0.5
"R:({POPT_M,TOURIST_ARR_L})->SBS_M",2,0.027777777777777776,0.6666666666666666
"R:({POPT_M,TOURIST_ARR_L})->SBS_L",1,0.013888888888888888,0.3333333333333333
"R:({POPT_M,TOURIST_ARR_H})->SBS_M",4,0.05555555555555555,0.5
"R:({POPT_M,TOURIST_ARR_H})->SBS_H",2,0.027777777777777776,0.25
"R:({POPT_M,TOURIST_ARR_H})->SBS_VL",1,0.013888888888888888,0.125
"R:({POPT_M,TOURIST_ARR_H})->SBS_VH",1,0.013888888888888888,0.125
"R:({POPT_L,TOURIST_ARR_M})->SBS_M",2,0.027777777777777776,1.0
"R:({POPT_L,TOURIST_ARR_VL})->SBS_VL",1,0.013888888888888888,1.0
"R:({POPT_L,TOURIST_ARR_L})->SBS_M",1,0.013888888888888888,0.5
"R:({POPT_L,TOURIST_ARR_L})->SBS_L",1,0.013888888888888888,0.5
"R:({POPT_L,TOURIST_ARR_H})->SBS_M",1,0.013888888888888888,0.5
"R:({POPT_L,TOURIST_ARR_H})->SBS_H",1,0.013888888888888888,0.5
"R:({POPT_VH,TOURIST_ARR_M})->SBS_H",2,0.027777777777777776,0.3333333333333333
"R:({POPT_VH,TOURIST_ARR_M})->SBS_M",2,0.027777777777777776,0.3333333333333333
"R:({POPT_VH,TOURIST_ARR_M})->SBS_VH",2,0.027777777777777776,0.3333333333333333
"R:({POPT_VH,TOURIST_ARR_VH})->SBS_VH",6,0.08333333333333333,0.75
"R:({POPT_VH,TOURIST_ARR_VH})->SBS_H",2,0.027777777777777776,0.25
"R:({POPT_VH,TOURIST_ARR_H})->SBS_VH",1,0.013888888888888888,1.0
"R:({POPT_VL,TOURIST_ARR_M})->SBS_M",1,0.013888888888888888,1.0
"R:({POPT_VL,TOURIST_ARR_VL})->SBS_VL",4,0.05555555555555555,0.7999999999999999
"R:({POPT_VL,TOURIST_ARR_VL})->SBS_L",1,0.013888888888888888,0.19999999999999998
"R:({POPT_VL,TOURIST_ARR_L})->SBS_VL",1,0.013888888888888888,0.5
"R:({POPT_VL,TOURIST_ARR_L})->SBS_M",1,0.013888888888888888,0.5
